time,S,E,I,R
43,99979.95256057373,1.5228005292705138,2.0917300050834693,16.432908891824614
44,99979.13194347385,1.57022236151212,2.1568791367537177,17.14095502778093
45,99978.28577517999,1.6191179140579832,2.2240535349180415,17.87105337094177
46,99977.41326188562,1.669532788406123,2.2933159167511996,18.62388940911817
47,99976.51358523319,1.7215139886838913,2.364730922494246,19.40016985552287
48,99975.58590156198,1.7751099635861087,2.438365173838903,20.200623300502286
49,99974.62934113698,1.8303706410743887,2.514287341976972,21.026000879872655
50,99973.64300734908,1.887347477634184,2.592568204853359,21.87707696834456
51,99972.62597589049,1.9460935102490096,2.6732807048560647,22.75464989430763
52,99971.5772939116,2.0066633959603615,2.7565000212790762,23.659542671066266
53,99970.49597914994,2.0691134584293325,2.8423036393442804,24.59260375219125
54,99969.38101902886,2.1335017463985206,2.930771411248353,25.55470781339097
55,99968.231369734,2.199888082660637,3.0219856294755534,26.54675655376471
56,99967.04595526417,2.2683341098181726,3.1160311065399946,27.569679519378077
57,99965.82366644852,2.3389033505943866,3.212995244509115,28.624434956289896
58,99964.56335993549,2.4116612675313323,3.312968108684294,29.712010688207968
59,99963.26385715682,2.4866753126033054,3.4160425144524433,30.833425016038017
60,99961.9239432574,2.5640149865131447,3.522314108773209,31.989727647237352
61,99960.54236599046,2.643751906870842,3.631881447147689,33.18200065542588
62,99959.1178345854,2.725959866453506,3.744846083877194,34.411359464181615
63,99957.64901858241,2.810714892076831,3.861312665784352,35.67895385962942
64,99956.13454662821,2.898095317135152,3.9813890171886177,36.98596903736958
65,99954.5730052384,2.9881818509219062,4.105186232145977,38.3336266784256
66,99952.96293752774,3.0810576407468186,4.232818777804407,39.72318605360121
67,99951.30284189912,3.176808345491525,4.3644045914078555,41.15594516388192
68,99949.59117069285,3.275522215027639,4.500065176302086,42.63324191573232
69,99947.82632880159,3.377290160254719,4.639925711405642,44.15645532664555
70,99946.00667224439,3.4822058271322582,4.784115161644349,45.72700676672575
71,99944.13050669507,3.590365682831874,4.932766381792957,47.34636124019715
72,99942.19608597147,3.7018690968798067,5.0860162299671625,49.01602870157149
73,99940.20161048387,3.8168184182504636,5.24400568996264,50.737565407803366
74,99938.14522563461,3.935319064752633,5.406879987143537,52.512575313376246
75,99936.02502017173,4.057479615485034,5.574788706673178,54.34271150598789
76,99933.83902450015,4.183411895238583,5.747885924669626,56.22967767983413
77,99931.58520894287,4.313231065665777,5.926330338420703,58.175229652943266
78,99929.26148194986,4.447055726573735,6.110285392594764,60.18117693086647
79,99926.86568825998,4.585008011242447,6.299919416713903,62.2493843119589
80,99924.39560705997,4.727213678319868,6.4954057657560735,64.38177349585283
81,99921.84894992334,4.873802224809689,6.696922966767704,66.58032488498142
82,99919.22335886431,5.024906990585392,6.904654858686992,68.84707928631812
83,99916.51640434594,5.180665256040005,7.1187907438710685,71.18413965405985
84,99913.72558312093,5.3412183564044655,7.33952554314322,73.59367297942275
85,99910.84831606656,5.506711797382731,7.5670599495038475,76.0779121864575
86,99907.88194596219,5.6772953667815544,7.801600591790685,78.6391580791426
87,99904.82373519691,5.853123252182506,8.043360199906601,81.27978135088794
88,99901.67086341772,6.034354161816624,8.292557773132652,84.00222464722162
89,99898.42042511693,6.221151448132317,8.54941875206912,86.80900468276468
90,99895.06942715483,6.413683233279119,8.814175195352732,89.7027144164187
91,99891.61478621449,6.612122537160185,9.087065960731929,92.68602528750569
92,99888.0533261879,6.8166474086959905,9.36833688982416,95.76168951346389
93,99884.38177549375,7.027441060111686,9.658240996649514,98.93254244936858
94,99880.59676432515,7.244692003808809,9.957038660392557,102.20150501052682
95,99876.69482182556,7.468594191806201,10.264997822492155,105.57158616003056
96,99872.67237319108,7.699347158012279,10.582394187847912,109.04588546293485
97,99868.52573669811,7.93715616341268,10.909511430043281,112.62759570829517
98,99864.25112065492,8.182232344028687,11.246641400689521,116.32000560022564
99,99859.84462027601,8.434792861531992,11.59408434297588,120.12650251934055
100,99855.30221447788,8.695061056539448,11.952149109376176,124.05057535606778
101,99850.61976259455,8.963266604626433,12.321153383424937,128.09581741726188
102,99845.79300101187,9.239645675009674,12.701423905534392,132.26592940744266
103,99840.81753971925,9.52444109180468,13.093296702849015,136.56472248596307
104,99835.68885877756,9.817902497789888,13.497117323092793,140.99612140144055
105,99830.40230470212,10.120286520635108,13.913241072322986,145.56416770479134
106,99824.95308675966,10.431856941530311,14.342033256501846,150.2730230421666
107,99819.33627317792,10.752884866104564,14.783869426803122,155.12697252904263
108,99813.54678726709,11.08364889753322,15.239135628555449,160.13042820668392
109,99807.57940345227,11.424435311719652,15.708228653697745,165.28793258217226
110,99801.42874321567,11.775538234429439,16.191556296601494,170.6041622531537
111,99795.08927094813,12.137259820233865,16.689537613102022,176.0839316184019
112,99788.55528970897,12.509910433101124,17.202603182565102,181.7321966752367
113,99781.82093689383,12.893808828459662,17.731195372792016,187.55405890477599
114,99774.88017980984,13.289282336543144,18.275768607541618,193.5547692459309
115,99767.72681115766,13.696667046806846,18.836789636424665,199.73973215897823
116,99760.35444442031,14.11630799318341,19.414737806902302,206.11450977945626
117,99752.75650915879,14.548559339924772,20.010105338093872,212.6848261630373
