time,S,I,R
152,88467.23417850786,1017.9106743467411,10514.855147145518
153,88147.71916543065,1025.9782887610986,10826.302545808365
154,87827.78491964236,1032.832903895689,11139.382176462075
155,87507.87005904247,1038.4486279511639,11453.681313006491
156,87188.41346045215,1042.805772229623,11768.780767318347
157,86869.8519898925,1045.8910099604855,12084.25700014715
158,86552.61826660883,1047.697465787116,12399.684267604207
159,86237.13848517985,1048.224734951272,12714.636779869023
160,85923.83031877052,1047.4788325293853,13028.690848700247
161,85613.10092489749,1045.4720743661453,13341.427000736523
162,85305.34507302915,1042.222892580776,13652.432034390227
163,85000.94341099639,1037.755589656638,13961.300999347128
164,84700.26088461412,1032.1000361364163,14267.639079249615
165,84403.64532217637,1025.2913178093481,14571.063360014448
166,84111.42619265987,1017.3693389757685,14871.204468364524
167,83823.91354362373,1008.3783888960653,15167.708067480371
168,83541.39712198918,998.3666788706477,15460.236199140325
169,83264.14567818695,987.3858575557,15748.46846425749
170,82992.40645161999,975.4905121029664,16032.103036277185
171,82726.40483305369,962.7376625323866,16310.857504414054
172,82466.34419744796,949.1862564200906,16584.469546132084
173,82212.40589890424,934.8966705278996,16852.697430567994
174,81964.74941786255,919.9302254595207,17115.320356678065
175,81723.51264943865,904.3487187541028,17372.13863180738
176,81488.81232081642,888.2139810786524,17622.973698105085
177,81260.74452481982,871.5874596326671,17867.66801554766
178,81039.3853564203,854.529831960089,18106.084811619752
179,80824.79163893155,837.1006525575754,18338.107708511016
180,80617.00172648446,819.3580341010886,18563.64023941458
181,80416.03636968856,801.3583643471673,18782.605265964397
182,80221.89963184262,783.1560591227576,18994.94430903474
183,80034.57984362161,764.8033512386087,19200.616805139907
184,79854.05058486068,746.3501146430406,19399.599300496404
185,79680.2716828459,727.8437226828327,19591.88459447139
186,79513.19021737458,709.3289389586159,19777.48084366692
187,79352.74152374537,690.8478389528102,19956.410637301924
188,79198.85018575721,672.4397603667165,20128.710053876173
189,79051.43101171881,654.1412799262512,20294.427708355033
190,78910.38998738026,635.9862142982971,20453.623798321536
191,78775.62520058145,618.0056426962425,20606.369156722412
192,78647.02773325826,600.227948737975,20752.744318003843
193,78524.48251724747,582.678879146118,20892.83860360649
194,78407.86915108796,565.3816169535382,21026.74923195859
195,78297.06267565703,548.3568669241864,21154.580457418866
196,78191.93430718087,531.6229510484503,21276.442741770752
197,78092.35212675687,515.1959121941024,21392.45196104909
198,77998.1817258491,499.0896239341822,21502.728650216788
199,77909.28680787476,483.31590489956375,21607.397287225762
200,77825.52974624353,467.8846360638582,21706.585617692705
201,77746.77209967123,452.8038796135424,21800.424020715323
202,77672.87508576774,438.07999814356253,21889.044916088784
203,77603.70001418193,423.71777309655363,21972.582212721594
204,77539.1086807649,409.72052150846076,22051.170797726714
205,77478.96372435635,396.0902102560039,22124.946065387732
206,77423.12894793352,382.82756714342185,22194.043484923146
207,77371.46960591337,369.93218827200735,22258.59820581471
208,77323.85265947408,357.4026412565401,22318.744699269475
209,77280.14700177153,345.236563946138,22374.616434282438
210,77240.22365493736,333.43075839890537,22426.345586663832
211,77203.9559407305,321.98127994044916,22474.062779329164
212,77171.21962668191,310.88352120613433,22517.89685211207
213,77141.89304953048,300.1322911285342,22557.97465934111
