year,week,date,tested,positive
2023,47,2023-11-20,0,416
2023,48,2023-11-27,0,581
2023,49,2023-12-04,0,1290
2023,50,2023-12-11,0,2225
2023,51,2023-12-18,0,3554
2023,52,2023-12-25,0,3267
2024,1,2024-01-01,0,4037
2024,2,2024-01-08,0,2417
2024,3,2024-01-15,0,4442
2024,4,2024-01-22,0,5607
2024,5,2024-01-29,0,5074
2024,6,2024-02-05,0,4647
2024,7,2024-02-12,0,3527
2024,8,2024-02-19,0,2604
2024,9,2024-02-26,0,2045
2024,10,2024-03-04,0,1904
2024,11,2024-03-11,0,2118
2024,12,2024-03-18,0,1620
2024,13,2024-03-25,0,1151
2024,14,2024-04-01,0,1181
2024,15,2024-04-08,0,738
2024,16,2024-04-15,0,455
2024,17,2024-04-22,0,520
2024,18,2024-04-29,0,548
2024,19,2024-05-06,0,422
2024,20,2024-05-13,0,339
2024,21,2024-05-20,0,205
2024,22,2024-05-27,0,160
2024,23,2024-06-03,0,211
2024,24,2024-06-10,0,177
2024,25,2024-06-17,0,192
2024,26,2024-06-24,0,275
2024,27,2024-07-01,0,262
2024,28,2024-07-08,0,292
2024,29,2024-07-15,0,357
2024,30,2024-07-22,0,374
2024,31,2024-07-29,0,227
2024,32,2024-08-05,0,268
2024,33,2024-08-12,0,278
2024,34,2024-08-19,0,236
2024,35,2024-08-26,0,240
2024,36,2024-09-02,0,238
2024,37,2024-09-09,0,256
2024,38,2024-09-16,0,340
2024,39,2024-09-23,0,436
2024,40,2024-09-30,0,445
2024,41,2024-10-07,0,547
2024,42,2024-10-14,0,638
2024,43,2024-10-21,0,627
2024,44,2024-10-28,0,1495
2024,45,2024-11-04,0,775
2024,46,2024-11-11,0,1018
2024,47,2024-11-18,0,1690
2024,48,2024-11-25,0,2931
2024,49,2024-12-02,0,4944
2024,50,2024-12-09,0,6953
2024,51,2024-12-16,0,10012
2024,52,2024-12-23,0,10606
2025,1,2024-12-30,0,10852
2025,2,2025-01-06,0,8686
2025,3,2025-01-13,0,6496
2025,4,2025-01-20,0,5718
2025,5,2025-01-27,0,5048
2025,6,2025-02-03,0,4267
2025,7,2025-02-10,0,3748
2025,8,2025-02-17,0,3636
2025,9,2025-02-24,0,3156
2025,10,2025-03-03,0,2783
2025,11,2025-03-10,0,2332
2025,12,2025-03-17,0,2133
2025,13,2025-03-24,0,2044
2025,14,2025-03-31,0,1592
2025,15,2025-04-07,0,1307
2025,16,2025-04-14,0,982
2025,17,2025-04-21,0,829
2025,18,2025-04-28,0,602
2025,19,2025-05-05,0,385
2025,20,2025-05-12,0,352
2025,21,2025-05-19,0,307
2025,22,2025-05-26,0,252
2025,23,2025-06-02,0,162
2025,24,2025-06-09,0,241
2025,25,2025-06-16,0,192
2025,26,2025-06-23,0,195
2025,27,2025-06-30,0,153
2025,28,2025-07-07,0,162
2025,29,2025-07-14,0,111
2025,30,2025-07-21,0,91
2025,31,2025-07-28,0,205
2025,32,2025-08-04,0,117
2025,33,2025-08-11,0,118
2025,34,2025-08-18,0,148
2025,35,2025-08-25,0,141
2025,36,2025-09-01,0,187
2025,37,2025-09-08,0,164
2025,38,2025-09-15,0,242
2025,39,2025-09-22,0,446
2025,40,2025-09-29,0,753
2025,41,2025-10-06,0,1199
2025,42,2025-10-13,0,1571
2025,43,2025-10-20,0,2190
2025,44,2025-10-27,0,2949
2025,45,2025-11-03,0,3385
2025,46,2025-11-10,0,2923
2025,47,2025-11-17,0,3182
2025,48,2025-11-24,0,5756
2025,49,2025-12-01,0,7602
2025,50,2025-12-08,0,7901
2025,51,2025-12-15,0,6394
2025,52,2025-12-22,0,4861
2026,1,2025-12-29,0,4798
2026,2,2026-01-05,0,4954
2026,3,2026-01-12,0,3655
2026,4,2026-01-19,0,2705
2026,5,2026-01-26,0,1674
2026,6,2026-02-02,0,1400
2026,7,2026-02-09,0,992
2026,8,2026-02-16,0,797
2026,9,2026-02-23,0,615
2026,10,2026-03-02,0,458
2026,11,2026-03-09,0,304
